ItemCode	Warehouse	NET_AFTER_1	NET_AFTER_2	NET_AFTER_3	NET_AFTER_4	NET_AFTER_5	NET_AFTER_6
FG0000074	BH-EC	-1088	-777	0	0	0	0
FG0000150	BH-LR	-712	-74	0	0	0	0
FG0000232	BH-LR	-432	-12	0	0	0	0
PM0000025	BH-PM	-13800	-13800	-7300	-7300	-7100	-7100
PM0000403	BH-PM	-13456	-13456	-10396	-7236	-1636	-1636
PM0000247	BH-PM	-3000	-2400	-2000	-1100	0	0
PM0000247	BH-BS	0	-145	-326	0	0	0
FG0000029	BH-PF	0	0	0	0	0	0
PM0000003	GP-PM	0	0	0	0	0	0
PM0000013	GP-PM	0	0	0	0	0	0
PM0000078	GP-PM	0	0	0	0	0	0
PM0000077	GP-PM	0	0	0	0	0	0
PM0000259	GP-PM	0	0	0	0	0	0
PM0000076	GP-PM	0	0	0	0	0	0
PM0000080	GP-PM	0	0	0	0	0	0
PM0000395	GP-PM	0	0	0	0	0	0
PM0000825	GP-PM	0	0	0	0	0	0
PM0000006	GP-FG	0	0	0	-100	0	0
PM0000041	BH-PM	0	0	-5600	-5200	-5100	-5100
PM0000042	BH-PM	0	0	-5600	-5200	-5100	-5100
FG0000030	PB-JP	-8431	-2079	-2679	-2679	0	0
FG0000011	PB-JP	279	647	647	595	0	0
RM0000039	BH-EC	0	0	0	0	0	0
PM0000006	GP-PM	0	0	0	0	-70	-70
PM0000247	BH-NM	0	0	0	-276	0	0
FA0000363	GP-FA	4	4	4	4	0	0
FA0000364	GP-FA	2	2	2	2	0	0
PM0000609	BH-PM	22900	22900	22900	12900	0	0
FA0000370	BH-FA	1	1	1	1	0	0
FA0000079	BH-FA	1	1	1	1	0	0
FG0000006	BH-PF	0	0	0	0	0	0
PM0000335	BH-PM	-6480	-6480	-5832	-4640	0	0
PM0000471	BH-PM	-8000	-8000	-8000	-8000	0	0
PM0000660	BH-NM	0	0	0	-5.7	0	0
PM0000058	DL-PS	0	0	0	0	0	0
PM0000866	DL-PS	0	0	0	0	0	0
PM0000865	DL-PS	0	0	0	0	0	0
PM0000235	DL-PS	0	0	0	0	0	0
PM0000507	DL-PS	0	0	0	0	0	0
PM0000657	BH-FG	0	0	0	0	0	0
FG0000015	GP-FG	-1	-131	0	0	0	0
PM0000060	BH-PM	-105000	-51000	0	0	0	0
PM0000075	GP-FG	4550	4550	2550	800	0	0
FG0000379	BH-EC	-219	-13280	-6	-5	0	0
PM0000053	BH-PF	24	24	0	0	0	0
PM0000471	BH-PF	5	5	5	5	0	0
PM0000468	BH-PF	3	3	-5	-5	0	0
RM0000037	BH-GJ	0	0	0	1071.43	0	0
FA0000110	BH-FA	0	0	0	0	0	0
PM0000075	BH-EC	0	0	0	0	0	0
FG0000030	BH-INT	0	-6600	0	0	0	0
FG0000011	BH-INT	0	-1005	0	0	0	0
FG0000178	PB-JP	-65	-62	-62	-62	0	0
FG0000178	BH-INT	0	-3	0	0	0	0
FG0000026	PB-JP	-47	0	0	-16	0	0
FG0000026	BH-INT	0	-47	0	0	0	0
FG0000379	PB-JP	0	0	0	-4000	0	0
FG0000379	BH-INT	-121	0	0	0	0	0
FG0000011	PB-INT	-1528	-1100	-1100	-1000	0	0
FG0000031	PB-INT	-1000	-1000	-1000	-1000	0	0
FG0000031	PB-JP	-1372	630	630	630	0	0
FG0000031	BH-INT	0	-1854	0	0	0	0
FG0000029	PB-JP	-323	-213	-213	-213	0	0
FG0000029	BH-INT	0	-110	0	0	0	0
FG0000012	PB-JP	91	139	139	139	0	0
FG0000012	BH-INT	0	-48	0	0	0	0
FA0000138	BH-FA	-1	-1	-1	-1	0	0
PM0000020	BH-NM	0	0	0	-3741	0	0
PM0000019	BH-NM	0	0	0	-430	0	0
FG0000161	PB-JP	-48	-48	-48	-48	0	0
FG0000161	BH-INT	0	0	0	0	0	0
FG0000407	BH-EC	0	0	0	0	0	0
SC0000075	BH-SC	32	32	-1	0	0	0
PM0000058	BH-INT	0	0	0	0	0	0
PM0000235	BH-INT	0	0	0	0	0	0
PM0000507	BH-INT	0	0	0	0	0	0
PM0000865	BH-INT	0	0	0	0	0	0
PM0000866	BH-INT	0	0	0	0	0	0
FG0000033	BH-EC	-222	-222	0	0	0	0
PM0000122	BH-PM	-6	0	0	0	0	0
SF0000008	BH-OT	2000	2000	2000	1000	0	0
PM0000656	BH-PC	-571	-355	-396	-372	0	0
PM0000394	BH-PM	0	0	0	0	0	0
FA0000116	BH-FA	1	1	1	1	0	0
FA0000174	BH-FA	1	1	1	1	0	0
FA0000256	BH-FA	8	8	8	8	0	0
FG0000243	GP-FG	-2421	-2421	-3600	-3200	0	0
PM0000671	BH-NM	0	0	0	-45.84	0	0
PM0000630	BH-PC	222	222	222	222	0	0
FA0000026	BH-FA	1	1	1	1	0	0
RM0000035	BH-GJ	0	0	0	0	0	0
PM0000289	BH-PM	-1800	600	-3047	-3047	0	0
PM0000288	BH-PM	-1800	600	-3047	-3047	0	0
FA0000375	BH-FA	1	1	1	1	0	0
FA0000376	BH-FA	1	1	1	1	0	0
FA0000381	BH-FA	5	5	5	5	0	0
FA0000385	BH-FA	10	10	10	10	0	0
FA0000377	BH-FA	10	10	10	10	0	0
FA0000378	BH-FA	5	5	5	5	0	0
FA0000384	BH-FA	4	4	4	4	0	0
FA0000382	BH-FA	5	5	5	5	0	0
FA0000379	BH-FA	1	1	1	1	0	0
FA0000386	BH-FA	5	5	5	5	0	0
FA0000380	BH-FA	10	10	10	10	0	0
FA0000383	BH-FA	2	2	2	2	0	0
FA0000354	BH-FA	1	1	1	1	0	0
FA0000339	BH-FA	0	0	-2	-2	0	0
RM0000052	BH-OT	249949	0	0	0	0	0
PM0000186	BH-BS	-9349	-3287	-3287	-3287	0	0
PM0000186	BH-PC	56	52	52	52	0	0
PM0000288	BH-PC	-22	278	278	278	0	0
PM0000289	BH-PC	338	109	109	338	0	0
PM0000630	GP-FG	0	0	0	0	0	0
RM0000030	BH-LO	-32015.29	-27615.29	-25875	-350	0	0
PM0000121	BH-PM	-4872	-51912	0	0	0	0
SF0000009	GP-FG	0	0	0	0	0	0
FA0000346	BH-FA	1	1	1	1	0	0
PM0000186	BH-NM	-1965	-1965	-1965	-1965	0	0
FG0000198	BH-SC	216	216	-1	-1	0	0
PM0000411	GP-FG	30	30	30	30	0	0
FG0000083	BH-EC	-2	-2	0	0	0	0
RM0000062	BH-CRUDE	-13.21	-13.21	-13.21	-13.21	0	0
PM0000500	BH-BS	0	0	0	-150	0	0
PM0000499	BH-BS	0	0	0	-150	0	0
PM0000227	BH-PM	-15204	-9204	2796	2796	20796	20796
PM0000022	BH-PM	41500	41500	41500	41500	0	0
PM0000023	BH-PM	41500	41500	41500	41500	0	0
PM0000500	BH-PC	2	2	2	2	0	0
PM0000630	BH-WST	355	355	355	355	0	0
PM0000500	BH-WST	0	0	0	0	0	0
FG0000349	GP-FG	-6784	-6245	-6245	-6245	0	0
FG0000349	BH-EC	-551	-9	-53	-53	0	0
PM0000394	BH-NM	0	0	0	0	0	0
PM0000235	BH-NM	0	0	0	0	0	0
PM0000469	BH-NM	0	0	0	0	0	0
PM0000525	BH-NM	0	0	0	0	0	0
PM0000524	BH-NM	0	0	0	0	0	0
PM0000122	BH-NM	0	0	0	0	0	0
PM0000878	BH-NM	0	0	0	0	0	0
PM0000009	BH-NM	0	0	0	0	0	0
PM0000108	BH-NM	0	0	0	0	0	0
PM0000193	BH-NM	0	0	0	0	0	0
PM0000224	BH-NM	0	0	0	0	0	0
PM0000722	BH-NM	0	0	0	-25	0	0
PM0000012	BH-NM	0	0	0	-6	0	0
PM0000386	BH-NM	0	0	0	-2500	0	0
PM0000692	BH-NM	0	0	0	-4860	0	0
PM0000007	BH-NM	0	0	0	-5	0	0
PM0000658	BH-BS	0	-100	-100	-1	0	0
PM0000499	BH-NM	0	0	0	0	0	0
PM0000027	BH-NM	0	0	0	0	0	0
PM0000286	BH-BS	0	0	0	0	3000	3000
PM0000391	BH-BS	0	0	0	-59	0	0
PM0000424	BH-EC	0	0	0	0	0	0
PM0000073	BH-FG	0	0	-20	-20	0	0
PM0000182	GP-FG	36	-44	-24	-20	0	0
PM0000247	GP-FG	48	48	48	-2	0	0
PM0000507	GP-FG	0	0	0	-469	0	0
PM0000722	GP-FG	10	10	10	-15	0	0
FG0000408	BH-WST	13	13	13	13	0	0
FG0000407	BH-WST	4	4	4	1	0	0
FG0000033	BH-WST	3	1	4	4	0	0
FG0000032	BH-WST	-1	-1	2	1	0	0
FG0000047	BH-WST	3	3	4	2	0	0
FG0000405	BH-WST	8	8	8	8	0	0
FG0000054	BH-WST	-9	-11	7	4	0	0
FG0000023	BH-WST	1	0	4	3	0	0
FG0000004	BH-WST	-7	-11	6	3	0	0
FG0000145	BH-WST	10	10	10	8	0	0
FG0000042	BH-WST	1	1	1	1	0	0
FG0000389	BH-WST	23	23	23	20	0	0
FG0000011	BH-WST	-5	-7	3	3	0	0
FG0000030	BH-WST	-8	-8	8	8	0	0
FG0000379	BH-WST	9	9	9	6	0	0
FG0000028	BH-WST	1	1	3	3	0	0
FG0000008	BH-WST	28	21	53	52	0	0
FG0000021	BH-WST	7	-3	26	7	0	0
FG0000013	BH-WST	0.5	0.25	0.5	0.5	0	0
FG0000020	BH-WST	0.25	0	0.25	0.25	0	0
FG0000150	BH-WST	1	-2	2	2	0	0
FG0000418	BH-WST	26	26	26	26	0	0
FG0000194	BH-WST	-122	-126	20	1	0	0
FG0000299	BH-WST	94	70	137	73	0	0
FG0000359	BH-WST	80	50	114	40	0	0
FG0000422	BH-WST	38	38	38	38	0	0
FG0000012	PB-INT	-200	-200	-200	-200	0	0
FG0000081	BH-WST	4	2	5	2	0	0
FG0000268	BH-WST	5.5	5.5	5.5	5.5	0	0
FG0000106	BH-WST	-131	-145	13	1	0	0
FG0000136	BH-WST	1	1	21	21	0	0
FG0000151	BH-WST	-27	-29	5	4	0	0
PM0000838	BH-PM	-460	-460	-270	-270	0	0
PM0000846	BH-BS	-2900	-2900	0	-500	0	0
PM0000846	BH-PC	305	305	-452	48	0	0
PM0000843	BH-BS	-2900	-2900	0	-500	0	0
PM0000843	BH-PC	283	283	-452	48	0	0
PM0000838	BH-PC	33	33	28	28	0	0
RM0000001	BH-GJ	0	0	0	0	0	0
PM0000843	BH-PM	0	0	0	0	0	0
PM0000846	BH-PM	0	0	0	0	0	0
FG0000363	BH-PF	0	0	0	0	0	0
PM0000080	BH-PF	4	4	0	0	0	0
PM0000031	BH-PF	3	3	0	0	0	0
FA0000389	BH-FA	1	1	1	1	0	0
FA0000372	BH-FA	1	1	1	1	0	0
FG0000363	BH-EC	-30	-30	-30	-30	0	0
FG0000365	BH-EC	-400	-400	-400	-400	0	0
FG0000363	GP-FG	0	0	-110	-110	0	0
PM0000846	BH-WST	112	112	112	112	0	0
PM0000843	BH-WST	112	112	112	112	0	0
FG0000311	BH-EC	-20	-20	-20	-20	0	0
PM0000279	BH-PF	0	0	0	0	0	0
PM0000251	BH-PF	1	1	1	1	0	0
PM0000077	BH-PF	5	5	1	1	0	0
PM0000418	BH-BS	-2000	-2000	-2000	-2000	0	0
PM0000417	BH-BS	-2000	-2000	-2000	-2000	0	0
FG0000443	BH-EC	0	0	0	0	0	0
FA0000393	BH-FA	3	3	3	3	0	0
FA0000023	BH-FA	1	1	1	1	0	0
RM0000043	BH-GJ	0	0	0	0	0	0
PM0000402	BH-PM	-56000	-56000	-30000	-30000	0	0
FG0000445	BH-PF	0	0	0	0	0	0
FA0000197	DL-FA	1	1	1	1	0	0
RM0000043	BH-LO	6414.3	6414.3	5216.5	5494.5	0	0
PM0000634	GP-FG	0	0	-20	0	0	0
FG0000176	BH-INT	0	0	0	0	0	0
FG0000383	GP-FG	0	-203	-3	0	0	0
FG0000116	BH-EC	-930	-2	0	0	0	0
FG0000026	GP-FG	0	-18	-71	0	0	0
FG0000042	BH-FG	5046	2374	0	0	0	0
FG0000324	BH-FG	466	129	0	0	0	0
FG0000359	PB-SP	-177	-3	0	0	0	0
FG0000015	PB-SP	-8	-16	0	0	0	0
FG0000146	PB-SP	-24	-24	0	0	0	0
FG0000028	PB-SP	-50	-50	0	0	0	0
FG0000008	PB-SP	-33	-65	0	0	0	0
FG0000005	PB-SP	-149	-149	0	0	0	0
FG0000192	PB-SP	-278	-190	0	0	0	0
FG0000004	PB-SP	-96	-205	0	0	0	0
FG0000009	PB-SP	-242	-238	0	0	0	0
FG0000042	PB-SP	-400	-400	0	0	0	0
FG0000032	PB-SP	-770	-1022	0	0	0	0
FG0000004	BH-FG	978	-649	0	0	0	0
FG0000054	BH-EC	-57	-57	0	0	0	0
FG0000176	BH-EC	-20	-20	0	0	0	0
FG0000145	BH-EC	-64	-20	0	0	0	0
FG0000281	BH-EC	-9	-9	0	0	0	0
FA0000338	DL-FA	1	0	0	0	0	0
FG0000344	BH-PF	0	0	0	0	0	0
FG0000250	BH-PF	-92	-92	0	0	0	0
PM0000346	BH-PC	0	0	0	0	0	0
FG0000005	BH-FG	0	-298	0	0	0	0
FG0000008	BH-FG	0	-27	0	0	0	0
FG0000009	BH-FG	0	-81	0	0	0	0
FG0000015	BH-FG	0	-13	0	0	0	0
FG0000028	BH-FG	29	-234	0	0	0	0
FG0000032	BH-FG	90	-409	0	0	0	0
FG0000047	BH-FG	0	-343	0	0	0	0
FG0000082	BH-FG	0	-279	0	0	0	0
FG0000082	BH-EC	0	-729	0	0	0	0
FG0000083	BH-FG	0	-157	0	0	0	0
FG0000116	BH-FG	0	-50	0	0	0	0
FG0000282	BH-FG	0	-152	0	0	0	0
FG0000295	BH-FG	0	-139	0	0	0	0
FG0000305	BH-FG	0	-36	0	0	0	0
FG0000305	BH-EC	-90	-90	0	0	0	0
FG0000306	BH-FG	0	-22	0	0	0	0
FG0000318	BH-FG	0	-205	0	0	0	0
FG0000319	BH-FG	0	-4	0	0	0	0
FG0000319	BH-EC	-1778	-5010	-4934	0	0	0
FG0000349	BH-FG	0	-700	0	0	0	0
FG0000374	BH-FG	0	-59	0	0	0	0
FG0000379	BH-FG	0	-36	0	0	0	0
SC0000079	BH-FG	0	-492	0	0	0	0
FG0000372	DL-PS	2	0	0	0	0	0
FG0000372	BH-INT	0	0	0	0	0	0
FG0000011	BH-FG	0	0	0	0	0	0
FG0000039	BH-FG	0	0	0	0	0	0
FG0000064	BH-FG	0	0	0	0	0	0
FG0000081	BH-FG	0	0	0	0	0	0
FG0000112	BH-FG	0	0	0	0	0	0
FG0000114	BH-FG	0	0	0	0	0	0
FG0000142	BH-FG	0	0	0	0	0	0
FG0000148	BH-FG	0	0	0	0	0	0
FG0000149	BH-FG	0	0	0	0	0	0
FG0000150	BH-FG	0	0	0	0	0	0
FG0000157	BH-FG	0	0	0	0	0	0
FG0000157	BH-EC	-180	-863	0	0	0	0
FG0000161	BH-FG	0	0	0	0	0	0
FG0000183	BH-FG	0	0	0	0	0	0
FG0000185	BH-FG	0	0	0	0	0	0
FG0000187	BH-FG	0	0	0	0	0	0
FG0000189	BH-FG	0	0	0	0	0	0
FG0000192	BH-FG	0	0	0	0	0	0
FG0000193	BH-FG	0	0	0	0	0	0
FG0000194	BH-FG	0	0	0	0	0	0
FG0000197	BH-FG	-137	0	0	0	0	0
FG0000198	BH-FG	-79	-207	0	0	0	0
FG0000198	BH-EC	0	0	0	0	0	0
FG0000221	BH-FG	-105	-148	0	0	0	0
FG0000228	BH-FG	0	0	0	0	0	0
FG0000232	BH-FG	0	0	0	0	0	0
FG0000233	BH-FG	-246	-434	0	0	0	0
FG0000233	BH-EC	0	0	0	0	0	0
FG0000283	BH-FG	-59	-311	0	0	0	0
FG0000289	BH-FG	-159	-331	0	0	0	0
FG0000289	BH-EC	0	0	0	0	0	0
FG0000338	BH-FG	-1787	-2123	0	0	0	0
FG0000338	BH-EC	0	0	0	0	0	0
FG0000352	BH-FG	0	0	0	0	0	0
FG0000370	BH-FG	0	0	0	0	0	0
FG0000382	BH-FG	0	-2081	0	0	0	0
FG0000386	BH-FG	-1257	-21984	0	0	0	0
FG0000388	BH-FG	-374	-9	0	0	0	0
FG0000388	BH-EC	0	0	0	0	0	0
PM0000003	BH-FG	50	-20	0	0	0	0
PM0000013	BH-FG	-41	-121	-61	0	0	0
FG0000243	BH-EC	-1179	-1179	0	0	0	0
FG0000031	BH-EC	-175	-175	0	0	0	0
FG0000146	BH-EC	-134	-134	0	0	0	0
FG0000003	BH-EC	-105	-105	0	0	0	0
FG0000012	BH-EC	-39	-39	0	0	0	0
FG0000188	BH-EC	-34	-34	0	0	0	0
FG0000188	GP-FG	34	34	0	0	0	0
FG0000030	PB-RG	-404	-761	0	0	0	0
FG0000030	PB-SP	-815	-815	0	0	0	0
FG0000379	PB-RG	0	-735	0	0	0	0
FG0000379	PB-SP	-344	-6304	0	0	0	0
PM0000835	GP-FG	0	0	0	0	0	0
PM0000228	GP-FG	0	0	0	0	0	0
PM0000468	GP-FG	0	0	0	0	0	0
PM0000226	GP-FG	0	0	0	0	0	0
PM0000227	GP-FG	0	0	0	0	0	0
PM0000357	GP-FG	0	0	0	0	0	0
PM0000289	GP-FG	0	0	0	0	0	0
PM0000288	GP-FG	0	0	0	0	0	0
PM0000672	BH-PM	-453.6	-550.8	-162	0	0	0
PM0000521	BH-WST	0	0	0	0	0	0
PM0000520	BH-WST	0	0	0	0	0	0
PM0000817	BH-PM	0	0	0	0	0	0
SF0000006	BH-FG	0	-41960	0	0	0	0
SF0000006	BH-PC	0	0	0	0	0	0
PM0000853	BH-FG	150230	-361280	0	0	0	0
PM0000853	BH-PC	0	0	0	0	0	0
FG0000134	BH-EC	-398	-277	0	0	0	0
FG0000138	BH-EC	-48	-22	0	0	0	0
FG0000296	BH-EC	-139	-36	0	0	0	0
FG0000386	BH-PF	-10	0	0	0	0	0
FG0000106	BH-FG	600	600	0	0	0	0
FG0000151	BH-FG	175	175	0	0	0	0
PM0000246	BH-PC	53	53	-9	0	0	0
RM0000002	BH-WST	0	0	-799	0	0	0
FG0000003	BH-WST	-3	-4	0	0	0	0
RM0000001	BH-WST	637.88	637.88	0	0	0	0
FG0000005	BH-WST	-7	-7	0	0	0	0
PM0000235	BH-FG	0	-101120	0	0	0	0
PM0000078	BH-FG	-2	-2	0	0	0	0
PM0000615	BH-FG	-1	-1	0	0	0	0
PM0000411	BH-FG	0	-60	0	0	0	0
PM0000722	BH-FG	-2	-12	0	0	0	0
PM0000284	BH-FG	85.67	-13	0	0	0	0
PM0000012	BH-FG	0	-1	0	0	0	0
PM0000082	BH-FG	-105	-91	0	0	0	0
PM0000076	BH-FG	-2	-2	0	0	0	0
FG0000009	BH-WST	-9	-9	0	0	0	0
RM0000003	BH-WST	1049.03	1049.03	0	0	0	0
PM0000027	BH-WST	-200	-200	0	0	0	0
PM0000083	BH-WST	0	0	0	0	0	0
PM0000403	BH-WST	0	0	0	0	0	0
PM0000103	BH-WST	46	46	0	0	0	0
PM0000102	BH-WST	46	46	0	0	0	0
PM0000100	BH-WST	0	0	0	0	0	0
PM0000110	BH-WST	0.01	0.01	0	0	0	0
PM0000101	BH-WST	0	0	0	0	0	0
FG0000014	BH-WST	-46	-46	0	0	0	0
FG0000015	BH-WST	0	-2	0	0	0	0
FA0000089	DL-FA	1	1	0	0	0	0
RM0000009	BH-WST	0	0	-2014.31	0	0	0
FG0000053	BH-WST	-20	-20	0	0	0	0
FG0000064	BH-WST	-5	-6	1	0	0	0
FG0000070	BH-WST	-1	-1	0	0	0	0
FG0000074	BH-WST	-12	-12	0	0	0	0
RM0000025	BH-WST	1265.73	1265.73	0	0	0	0
FG0000085	BH-WST	-3	-3	0	0	0	0
FG0000112	BH-WST	-8	-8	0	0	0	0
RM0000021	BH-WST	45	45	0	0	0	0
FG0000128	BH-WST	-4	-5	1	0	0	0
FG0000131	BH-WST	-1	-1	0	0	0	0
PM0000364	BH-WST	0	0	0	0	0	0
PM0000363	BH-WST	0	0	0	0	0	0
FG0000135	BH-WST	-8	-8	0	0	0	0
RM0000011	BH-WST	55	55	0	0	0	0
FG0000143	BH-WST	-2	-3	0	0	0	0
FG0000146	BH-WST	-2	-2	0	0	0	0
FG0000155	BH-WST	-3	-3	0	0	0	0
FG0000160	BH-WST	-16	-16	0	0	0	0
PM0000397	BH-PC	-1200	-1200	0	0	0	0
PM0000396	BH-PC	0	0	0	0	0	0
FG0000176	BH-WST	-3	-4	0	0	0	0
FG0000192	BH-WST	-2	-2	0	0	0	0
FA0000341	DL-FA	240	240	0	0	0	0
RM0000007	BH-WST	21	21	0	0	0	0
FG0000227	BH-WST	0	0	1	0	0	0
RM0000040	BH-WST	7375	7375	0	0	0	0
FG0000232	BH-WST	-1475	-1475	0	0	0	0
RM0000054	BH-PC	-1138	-1958	0	0	0	0
FG0000242	BH-WST	5	5	20	0	0	0
FG0000243	BH-WST	-21	-21	0	0	0	0
FG0000276	BH-WST	-151	-151	0	0	0	0
PM0000636	BH-WST	0	0	0	0	0	0
PM0000637	BH-WST	6	6	0	0	0	0
FG0000281	BH-WST	-6	-6	0	0	0	0
FG0000300	BH-WST	-5	-5	1	0	0	0
RM0000056	BH-WST	5	5	0	0	0	0
FG0000305	BH-WST	0	-1	0	0	0	0
FG0000306	BH-WST	1	1	1	0	0	0
PM0000688	BH-WST	0	0	0	0	0	0
PM0000689	BH-WST	0	0	0	0	0	0
FG0000307	BH-WST	-1	-1	0	0	0	0
RM0000054	BH-WST	126	126	0	0	0	0
FG0000324	BH-WST	0	0	0	0	0	0
PM0000675	BH-WST	0	0	0	0	0	0
PM0000676	BH-WST	0	0	0	0	0	0
FG0000348	BH-WST	0	-1	0	0	0	0
RM0000053	BH-WST	36	36	0	0	0	0
PM0000150	BH-WST	72	72	0	0	0	0
PM0000816	BH-WST	0	0	0	0	0	0
PM0000815	BH-WST	0	0	0	0	0	0
PM0000153	BH-WST	0	0	0	0	0	0
FG0000352	BH-WST	-72	-72	0	0	0	0
FG0000404	BH-WST	0	0	0	0	0	0
PM0000246	BH-WST	0	0	0	0	0	0
PM0000508	BH-WST	-1.25	-1.25	0	0	0	0
PM0000587	BH-WST	-2	-2	0	0	0	0
PM0000830	BH-WST	-7	-7	0	0	0	0
FG0000015	PB-RG	-6	-21	0	0	0	0
FG0000009	PB-RG	-4	-10	0	0	0	0
FG0000008	PB-RG	-23	-27	0	0	0	0
FG0000004	PB-RG	-37	-99	0	0	0	0
FG0000192	PB-RG	-2	-9	0	0	0	0
FG0000042	PB-RG	-2	-2	0	0	0	0
FG0000005	PB-RG	-6	-11	0	0	0	0
FG0000028	PB-RG	-2	-2	0	0	0	0
FG0000032	PB-RG	-88	-107	0	0	0	0
FG0000011	PB-RG	-12	-51	0	0	0	0
FG0000026	PB-RG	-8	-15	0	0	0	0
FG0000070	PB-RG	-9	-13	0	0	0	0
FG0000031	PB-RG	-2	-2	0	0	0	0
FG0000081	PB-RG	-2	-2	0	0	0	0
FG0000116	PB-RG	-2	-2	0	0	0	0
FG0000142	PB-RG	-2	-2	0	0	0	0
FG0000227	PB-RG	-2	-2	0	0	0	0
FG0000255	PB-RG	-2	-2	0	0	0	0
FG0000083	PB-RG	-1	-1	0	0	0	0
FG0000222	PB-RG	-2	-2	0	0	0	0
FG0000082	PB-RG	-1	-1	0	0	0	0
FG0000136	PB-RG	-318	-428	0	0	0	0
FG0000136	PB-SP	-4932	-4932	-125	0	0	0
PM0000096	BH-WST	-1	-1	0	0	0	0
PM0000341	BH-WST	-1	-1	0	0	0	0
PM0000488	BH-WST	0	-30	0	0	0	0
PM0000489	BH-WST	0	-35	0	0	0	0
PM0000748	BH-WST	0	0	0	0	0	0
PM0000749	BH-WST	0	0	0	0	0	0
PM0000807	BH-WST	-13	-13	0	0	0	0
PM0000808	BH-WST	-13	-13	0	0	0	0
PM0000854	BH-WST	0	-40	0	0	0	0
PM0000868	BH-WST	0	0	0	0	0	0
PM0000808	BH-FG	70	-6	0	0	0	0
PM0000808	BH-BS	82	82	0	0	0	0
PM0000807	BH-FG	70	-6	0	0	0	0
PM0000807	BH-BS	82	82	0	0	0	0
PM0000696	BH-PM	0	-11074	0	0	0	0
PM0000234	BH-FG	0	0	0	0	0	0
PM0000234	GP-NM	-110	-109	0	0	0	0
PM0000110	BH-FG	0	0	0	0	0	0
PM0000110	GP-NM	0	0	-1610	0	0	0
PM0000292	BH-FG	0	0	0	0	0	0
PM0000292	GP-NM	-730	-730	0	0	0	0
PM0000225	BH-FG	0	0	0	0	0	0
PM0000225	GP-NM	-1726	-1726	0	0	0	0
PM0000405	BH-FG	0	0	0	0	0	0
PM0000405	GP-NM	0	0	0	0	0	0
PM0000249	BH-FG	0	0	0	0	0	0
PM0000249	GP-NM	-300	-300	0	0	0	0
PM0000431	BH-FG	0	0	0	0	0	0
PM0000431	GP-NM	-369	-369	-369	0	0	0
PM0000432	BH-FG	0	0	0	0	0	0
PM0000432	GP-NM	-365	-365	-365	0	0	0
PM0000656	BH-FG	118	-96	0	0	0	0
PM0000656	BH-BS	0	0	0	0	0	0
PM0000656	BH-PM	2256	-6000	-2064	0	0	0
PM0000663	BH-FG	0	-214	0	0	0	0
FA0000082	BH-FA	1	1	0	0	0	0
FG0000018	BH-EC	-4	-4	0	0	0	0
PM0000847	BH-PM	4400	2200	0	0	0	0
PM0000848	BH-PM	4400	2200	0	0	0	0
FG0000170	GP-FG	-106	-106	0	0	0	0
FA0000005	BH-FA	313.5	313.5	0	0	0	0
FA0000333	BH-FA	1	1	0	0	0	0
RM0000011	BH-FG	0	-53.5	-133.5	0	0	0
RM0000011	BH-PF	-2	-2	0	0	0	0
PM0000408	GP-FG	2	2	0	0	0	0
PM0000194	GP-FG	0	0	0	0	0	0
FG0000005	DL-PS	-58	-46	-4	0	0	0
FG0000005	BH-INT	-506	-15	0	0	0	0
RM0000054	BH-LO	-9202.5	297.5	0	0	0	0
FG0000418	BH-PF	4	4	-656	4	4	4
FG0000271	BH-GR	18	18	0	0	0	0
SF0000006	BH-PM	0	0	0	0	0	0
SF0000006	BH-PF	0	0	0	0	0	0
FG0000197	BH-GR	417	417	0	0	0	0
FG0000176	GP-FG	-1943	-17	0	0	0	0
FB0000013	BH-GR	4	4	2	0	0	0
FB0000001	BH-GR	18	18	8	0	0	0
FB0000002	BH-GR	5	5	2	0	0	0
FB0000003	BH-GR	6	6	3	0	0	0
FB0000009	BH-GR	1	1	0	0	0	0
FG0000196	BH-GR	125	125	0	0	0	0
SC0000007	BH-GR	16	16	0	0	0	0
FG0000372	BH-EC	-1090	-1088	0	0	0	0
FG0000141	BH-EC	-317	-317	0	0	0	0
FB0000004	BH-GR	4	4	0	0	0	0
FB0000006	BH-GR	2	2	0	0	0	0
FG0000093	BH-GR	4	4	0	0	0	0
FG0000165	BH-GR	153	153	0	0	0	0
FG0000166	BH-GR	37	37	0	0	0	0
FG0000167	BH-GR	465	466	0	0	0	0
FG0000179	BH-GR	80	80	0	0	0	0
FG0000180	BH-GR	40	40	0	0	0	0
FG0000181	BH-GR	132	132	0	0	0	0
FG0000182	BH-GR	2	2	0	0	0	0
FG0000195	BH-GR	96	96	0	0	0	0
FG0000198	BH-GR	22	10	0	0	0	0
FG0000199	BH-GR	105	105	0	0	0	0
FG0000217	BH-GR	344	344	0	0	0	0
FG0000218	BH-GR	209	209	0	0	0	0
FG0000240	BH-GR	6	6	0	0	0	0
FG0000237	BH-GR	141	141	0	0	0	0
FG0000258	BH-GR	56	56	0	0	0	0
FG0000216	BH-GR	87	87	0	0	0	0
FG0000190	BH-GR	934	934	0	0	0	0
PM0000628	BH-PM	0	0	0	0	0	0
FG0000319	BH-SC	0	0	0	0	0	0
PM0000075	BH-SC	2000	2000	0	0	0	0
FG0000082	BH-SC	1092	1092	0	0	0	0
