code,name,kind,uom,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
RM0000003,MUSTARD LOOSE OIL,MUSTARD,LTR,342615.78,163117.20,458619.34,179498.58,-279120.77,12.7,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,49.6,AWL AGRI BUSINESS LIMITED
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAPS,PCS,296954.70,683118.00,679000.00,-386163.30,-1065163.30,13.3,MAHESHWARI CAPS PVT LTD,17.0,BABAJI UDYOG PVT. LTD.
PM0000851,PET BOTTLE 1 LTR 26 GM,PET BOTTLES,PCS,217035.25,68068.00,1642232.00,148967.25,-1493264.75,10.2,BR AGROTECH LTD,19.4,TPAC PACKAGING INDIA PVT LTD II
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,CAPS,PCS,137793.00,343305.00,614000.00,-205512.00,-819512.00,2.0,MAHESHWARI CAPS PVT LTD,14.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,LABEL,PCS,118350.00,333057.00,500000.00,-214707.00,-714707.00,7.1,ZENBI INTERNATIONAL PRIVATE LIMITED,7.1,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,PCS,118350.00,346358.00,500000.00,-228008.00,-728008.00,7.1,ZENBI INTERNATIONAL PRIVATE LIMITED,7.1,ZENBI INTERNATIONAL PRIVATE LIMITED
RM0000025,SOYABEAN REFINED LOOSE OIL,SOYABEAN,LTR,100864.28,292489.67,423466.61,-191625.39,-615092.00,2.3,VEE KAY TRADERS,19.0,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,CANOLA,LTR,99002.35,19887.69,115458.00,79114.66,-36343.34,14.0,DIL EXIM COMMODITIES PRIVATE LIMITED,28.0,ALBA EDIBLE OILS PTY LTD
PM0000194,PET BOTTLE 1 LTR 40 GMS,PET BOTTLES,PCS,83343.00,156437.00,318476.00,-73094.00,-391570.00,6.7,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),35.7,TPAC PACKAGING INDIA PVT LTD
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,PET BOTTLES,PCS,79687.45,65925.00,457109.00,13762.45,-443346.55,2.5,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),56.7,ECHO PLAST INDIA
RM0000011,GROUNDNUT LOOSE OIL,GROUNDNUT,LTR,78126.10,32770.08,28000.00,45356.02,17356.02,7.5,VINOD AGRO INDUSTRIES PRIVATE LIMITED,22.5,ARIHANT SOLVEX PRIVATE LIMITED
RM0000009,REFINED SUNFLOWER OIL,SUNFLOWER,LTR,66316.65,48483.42,26000.00,17833.23,-8166.77,7.0,MODI OIL TRADERS,12.0,KUTCH CHEMICAL INDUSTRIES LIMITED
PM0000231,LABEL 1 LTR SUNFLOWER BACK,LABEL,PCS,63446.30,90395.00,270800.00,-26948.70,-297748.70,9.6,ROYAL PRIME LABELS,9.6,ROYAL PRIME LABELS
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,LABEL,PCS,63446.30,73880.00,270800.00,-10433.70,-281233.70,9.6,ROYAL PRIME LABELS,9.6,ROYAL PRIME LABELS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,LABEL,PCS,62885.95,376819.00,51500.00,-313933.05,-365433.05,5.8,ROYAL PRIME LABELS,9.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,LABEL,PCS,62885.95,377114.00,51000.00,-314228.05,-365228.05,5.8,ROYAL PRIME LABELS,9.6,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,PET BOTTLES,PCS,60385.30,88401.00,194826.00,-28015.70,-222841.70,3.7,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),66.1,TPAC PACKAGING INDIA PVT LTD II
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,LABEL,PCS,59396.00,55760.00,0.00,3636.00,3636.00,4.7,ROYAL PRIME LABELS,4.7,ROYAL PRIME LABELS
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,LABEL,PCS,59396.00,55760.00,0.00,3636.00,3636.00,4.7,ROYAL PRIME LABELS,4.7,ROYAL PRIME LABELS
RM0000001,LOOSE REFINED OLIVE OIL,OLIVE,LTR,53986.91,115032.91,42177.95,-61046.00,-103223.95,2.6,NURTURING FOODS LLP,13.0,INDRANI FOODS
PM0000824,LABEL 1 LTR KACHI GHANI FULL,LABEL,PCS,52892.20,562148.00,149500.00,-509255.80,-658755.80,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED,38.0,SBP (FOOD & HYGIENE) PVT LTD
PM0000075,TAPE LOGO PRINTED,TAPE,MTR,38324.37,1260194.08,183875.86,-1221869.71,-1405745.58,3.7,BAKSHI PLASTIC BHANDAR,12.0,SHRI PATA ENTERPRISES
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,PET BOTTLES,PCS,36314.50,145596.00,38376.00,-109281.50,-147657.50,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),16.0,PARAMBA POLYMER
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAPS,PCS,32011.15,155879.00,821017.00,-123867.85,-944884.85,15.9,BABAJI UDYOG PVT. LTD.,21.3,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
