code,name,role,need,onhand,onorder,short,pct_made,fastest_days,fastest_vendor
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,BLEND,149326,,,,100,,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BLEND,261545,,,,72,,
RM0000011,GROUNDNUT LOOSE OIL,BLEND,259172,,,,100,,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,BLEND,12072,,,,87,,
RM0000009,REFINED SUNFLOWER OIL,BLEND,314778,,,,100,,
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,BLEND,0,,,,100,,
RM0000001,LOOSE REFINED OLIVE OIL,BLEND,0,,,,93,,
RM0000015,LOOSE OIL COLD PRESS/REFINED,BLEND,5079,,,,100,,
RM0000003,MUSTARD LOOSE OIL,BUY,962818,152723,551806,258289,7,12.7,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,BUY,724735,676615,449000,-400880,0,9.8,MAHESHWARI CAPS PVT LTD
PM0000851,PET BOTTLE 1 LTR 26 GM,BUY,558691,306759,1202246,-950314,0,11.1,BR AGROTECH LTD
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,BUY,464494,562996,0,-98502,0,6.0,ROYAL PRIME LABELS
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,BUY,464494,549695,0,-85201,0,6.0,ROYAL PRIME LABELS
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,BUY,449243,312338,610000,-473095,0,2.0,MAHESHWARI CAPS PVT LTD
RM0000025,SOYABEAN REFINED LOOSE OIL,BUY,417094,213589,656164,-452659,2,2.3,VEE KAY TRADERS
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,BUY,264608,215689,20800,28119,0,9.0,ROYAL PRIME LABELS
PM0000231,LABEL 1 LTR SUNFLOWER BACK,BUY,264608,232204,20800,11604,0,9.0,ROYAL PRIME LABELS
PM0000594,PREFORM 40 GMS 36 MM,BUY,261545,590204,733600,-1062259,0,13.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,BUY,172808,193191,251000,-271383,0,5.8,ROYAL PRIME LABELS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,BUY,172808,192896,251500,-271588,0,5.8,ROYAL PRIME LABELS
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,BUY,144582,240476,675017,-770911,0,18.3,BABAJI UDYOG PVT. LTD.
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,BUY,125880,339372,344000,-557492,0,6.6,ROYAL PRIME LABELS
RM0000066,PEANUT OIL,BUY,118964,189358,139330,-209724,0,7.0,M/S ARORA AGRI BUSINESS VENTURES
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,BUY,105872,83016,38376,-15520,0,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000015,LABEL 1 LTR COLD PRESS FRONT,BUY,103689,294350,226000,-416661,0,8.0,ROYAL PRIME LABELS
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,BUY,98162,65443,1,32718,0,6.0,ROYAL PRIME LABELS
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,BUY,98162,65443,1,32718,0,6.0,ROYAL PRIME LABELS
PM0000075,TAPE LOGO PRINTED,BUY,90537,1296064,183970,-1389496,0,3.7,BAKSHI PLASTIC BHANDAR
PM0000053,HDPE BOTTLE 5 LTR,BUY,70320,37109,283920,-250709,0,12.7,BAL KRISHNA INDUSTRIES
PM0000824,LABEL 1 LTR KACHI GHANI FULL,BUY,58016,562148,149500,-653632,0,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000469,CAPS 5 LTR BROWN,BUY,56538,113798,192014,-249274,0,21.4,ECHO PLAST INDIA
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,BUY,55762,130614,0,-74852,0,10.5,ROYAL PRIME LABELS
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,BUY,55762,162924,0,-107162,0,10.5,ROYAL PRIME LABELS
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,BUY,38436,34240,0,4196,0,4.7,ROYAL PRIME LABELS
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,BUY,38436,34240,0,4196,0,4.7,ROYAL PRIME LABELS
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,BUY,33834,78447,5000,-49613,0,12.3,ROYAL PRIME LABELS
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,BUY,33834,80560,5000,-51726,0,12.3,ROYAL PRIME LABELS
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,BUY,33834,69345,24480,-59992,0,9.1,MULTILAYER INDUSTRIES
PM0000517,PET BOTTLE 1 LTR 75 GMS,BUY,33599,8112,37013,-11526,0,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,BUY,29051,17361,3000,8690,0,22.4,MAHESHWARI CAPS PVT LTD
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,BUY,29051,36648,7800,-15397,0,15.0,ROYAL PRIME LABELS
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,BUY,29051,36589,7800,-15338,0,15.0,ROYAL PRIME LABELS
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,BUY,25146,18954,37736,-31543,0,11.0,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,BUY,22704,11844,36100,-25240,0,6.5,ROYAL PRIME LABELS
PM0000428,LABEL 5 LTR GROUNDNUT BACK,BUY,22704,11848,36100,-25244,0,6.5,ROYAL PRIME LABELS
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),BUY,22191,61991,100000,-139800,0,4.3,ROYAL PRIME LABELS
RM0000007,RICE BRAN REFINED OIL,BUY,21224,67331,29769,-75876,0,3.5,MODI OIL TRADERS
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,BUY,19679,20501,20590,-21412,0,21.5,SSY CONTAINERS PVT LTD
PM0000125,PET BOTTLE 500 MLS 34 GMS,BUY,18152,97753,125560,-205161,0,9.0,TPAC PACKAGING INDIA PVT LTD II
PM0000013,CARTON 5 LTR 4 PCS,BUY,17372,15310,48867,-46805,0,11.2,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,BUY,13260,23740,32612,-43092,0,36.0,TPAC PACKAGING INDIA PVT LTD II
PM0000126,LABEL 500 MLS COLD PRESS FRONT,BUY,13216,26816,0,-13600,0,9.0,ROYAL PRIME LABELS
PM0000127,LABEL 500 MLS COLD PRESS BACK,BUY,13216,22615,0,-9399,0,9.0,ROYAL PRIME LABELS
PM0000852,PREFORM 49.5 GMS 36 MM,BUY,12072,290071,430549,-708548,0,10.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000003,CARTON 1 LTR POMACE 16 PCS,BUY,11253,18165,40586,-47498,0,17.3,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
PM0000470,CAPS 5 LTR ORANGE,BUY,11200,34476,57260,-80536,0,11.5,A A ENTERPRISES
