code,name,kind,uom,level,declared,behaviour,made_share,required,flag
PM0000159,LABEL 1 LTR EXTRA VIRGIN BACK,LABEL,PCS,1,BUY,BUY,0.00,23000.0,
PM0000158,LABEL 1 LTR EXTRA VIRGIN FRONT,LABEL,PCS,1,BUY,BUY,0.00,23000.0,
PM0000125,PET BOTTLE 500 MLS 34 GMS,PET BOTTLES,PCS,1,BUY,BUY,0.00,22000.0,
PM0000522,LABEL 1 LTR RICE BRAN OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,21000.0,
PM0000523,LABEL 1 LTR RICE BRAN OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,21000.0,
RM0000030,REFINED COTTON OIL,COTTON SEED,LTR,2,BUY,MAKE,1.00,20596.17,DECLARED_VS_BEHAVIOUR
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,LABEL,PCS,1,BUY,BUY,0.00,20000.0,
PM0000428,LABEL 5 LTR GROUNDNUT BACK,LABEL,PCS,1,BUY,BUY,0.00,20000.0,
PM0000036,LABEL 2 LTR KACHCHI GHANI FRONT,LABEL,PCS,1,BUY,BUY,0.00,20000.0,
PM0000035,LABEL 2 LTR KACHCHI GHANI BACK,LABEL,PCS,1,BUY,BUY,0.00,20000.0,
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,CAPS,PCS,1,BUY,BUY,0.00,20000.0,
PM0000005,CARTON 1 LTR 12 POUCHES,CARTON,PCS,1,BUY,BUY,0.00,19663.33,
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,CARTON,PCS,1,BUY,BUY,0.00,19541.55,
PM0000825,CARTON 1 LTR 20 PCS NEW,CARTON,PCS,1,BUY,BUY,0.00,18500.0,
PM0000071,SHRINKS 1 LTR 235X310,SHRINK,PCS,1,BUY,BUY,0.00,17500.0,
PM0000074,TAPE CELLO,TAPE,MTR,1,BUY,BUY,0.00,16820.44,
PM0000224,TIKKI 1+1 COMBO PACK 650,TIKKI,PCS,1,BUY,BUY,0.00,15000.0,
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,CAPS,PCS,1,BUY,,,15000.0,
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,LABEL,PCS,1,BUY,,,15000.0,
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,LABEL,PCS,1,BUY,,,15000.0,
PM0000784,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL BACK,LABEL,PCS,1,BUY,,,15000.0,
PM0000785,LABEL 1 LTR SO OLIVE BLENDED OLIVE OIL FRONT,LABEL,PCS,1,BUY,,,15000.0,
PM0000091,LABEL 2 LTR EXTRA LIGHT HANDLE BOTTLE FRONT,LABEL,PCS,1,BUY,BUY,0.00,13500.0,
PM0000090,LABEL 2 LTR EXTRA LIGHT HANDLE BOTTLE BACK,LABEL,PCS,1,BUY,BUY,0.00,13500.0,
RM0000036,COCUNUT RAW MATERIAL GIRI,COCONUT,KGS,2,BUY,BUY,0.00,13500.0,
PM0000395,TIN 5 LTR POMACE OLIVE SANO,TIN,PCS,1,BUY,BUY,0.00,12000.0,
PM0000082,CARTON 5 LTR OLIVE 4 PCS,CARTON,PCS,1,BUY,BUY,0.00,10550.0,
PM0000881,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE FRONT,GROUNDNUT,PCS,1,BUY,BUY,0.00,10000.0,
PM0000880,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE BACK,GROUNDNUT,PCS,1,BUY,BUY,0.00,10000.0,
PM0000126,LABEL 500 MLS COLD PRESS FRONT,LABEL,PCS,1,BUY,BUY,0.00,10000.0,
PM0000127,LABEL 500 MLS COLD PRESS BACK,LABEL,PCS,1,BUY,BUY,0.00,10000.0,
PM0000908,LABEL 500 ML CP GROUNDNUT FRONT,LABEL,PCS,1,BUY,BUY,0.00,10000.0,
PM0000909,LABEL 500 ML CP GROUNDNUT BACK,LABEL,PCS,1,BUY,BUY,0.00,10000.0,
PM0000588,CARTON PET BOTTLE 100 ML 10 PCS,CARTON,PCS,1,BUY,,,10000.0,
RM0000037,COCONUT EXTRA VIRGIN OIL,COCONUT,LTR,1,MAKE,MAKE,1.00,9000.0,
PM0000027,LABEL 1 LTR REFINED TOP,LABEL,PCS,1,BUY,BUY,0.00,9000.0,
PM0000503,LABEL 1 LTR POMACE FRONT ZANO,LABEL,PCS,1,BUY,BUY,0.00,8000.0,
PM0000504,LABEL 1 LTR POMACE BACK ZANO,LABEL,PCS,1,BUY,BUY,0.00,8000.0,
PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,LABEL,PCS,1,BUY,BUY,0.00,8000.0,
PM0000345,LABEL 1 LTR EXTRA VIRGIN COCONUT BACK,LABEL,PCS,1,BUY,BUY,0.00,8000.0,
PM0000113,HDPE BOTTLE 3 LTR,HDPE BOTTLES,PCS,1,BUY,BUY,0.00,7667.0,
PM0000187,SHRINKS 3 LTR/4 LTR,SHRINK,PCS,1,BUY,BUY,0.00,7667.0,
PM0000890,LABEL 12 KG REFINED SOYABEAN OIL,LABEL,PCS,1,BUY,BUY,0.00,7583.0,
PM0000471,CAPS 5 LTR BLUE,CAPS,PCS,1,BUY,BUY,0.00,7200.0,
PM0000466,LABEL 13 KGS REFINED SOYBEAN OIL,LABEL,PCS,1,BUY,BUY,0.00,7000.0,
PM0000118,LABEL 3 LTR COLD PRESS FRONT,LABEL,PCS,1,BUY,,,6667.0,
PM0000117,LABEL 3 LTR COLD PRESS BACK,LABEL,PCS,1,BUY,BUY,0.00,6667.0,
RM0000066,PEANUT OIL,GROUNDNUT,LTR,2,BUY,BUY,0.00,6465.06,
PM0000358,HDPE BOTTLE 5 LTR GOLD,HDPE BOTTLES,PCS,1,BUY,BUY,0.00,6000.0,
PM0000359,LABEL 5 LTR GOLD FRONT NEW,LABEL,PCS,1,BUY,BUY,0.00,6000.0,
PM0000360,LABEL 5 LTR GOLD BACK NEW,LABEL,PCS,1,BUY,BUY,0.00,6000.0,
PM0000186,HDPE BOTTLE 5 LTR OLIVE GREEN,HDPE BOTTLES,PCS,1,BUY,,,6000.0,
PM0000289,LABEL 5 LTR SOYABEAN FRONT,LABEL,PCS,1,BUY,BUY,0.00,6000.0,
PM0000288,LABEL 5 LTR SOYABEAN BACK,LABEL,PCS,1,BUY,BUY,0.00,6000.0,
PM0000026,LABEL 1 LTR REFINED FRONT,LABEL,PCS,1,BUY,BUY,0.00,6000.0,
PM0000025,LABEL 1 LTR REFINED BACK,LABEL,PCS,1,BUY,BUY,0.00,6000.0,
PM0000403,TIKKI 100 MLS MUSTARD FREE,TIKKI,PCS,1,BUY,BUY,0.00,6000.0,
PM0000524,LABEL 5 LTR RICE BRAN OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,5200.0,
PM0000525,LABEL 5 LTR RICE BRAN OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,5200.0,
PM0000718,LABEL 1 LTR PRESSED MUSTARD OIL FRONT,LABEL,PCS,1,BUY,,,5000.0,
PM0000719,LABEL 1 LTR PRESSED MUSTARD OIL BACK,LABEL,PCS,1,BUY,,,5000.0,
PM0000892,LABEL 1 LTR PRESSED SUNFLOWER OIL FRONT,LABEL,PCS,1,BUY,BUY,0.00,5000.0,
PM0000893,LABEL 1 LTR PRESSED SUNFLOWER OIL BACK,LABEL,PCS,1,BUY,BUY,0.00,5000.0,
PM0000609,LABEL 15 KGS REFINED SOYBEAN OIL PCS,LABEL,PCS,1,BUY,BUY,0.00,4853.0,
PM0000077,TIN 5 LTR EXTRA LIGHT OLIVE PRINTED,TIN,PCS,1,BUY,BUY,0.00,4600.0,
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,TIN,PCS,1,BUY,BUY,0.00,4600.0,
PM0000634,CARTON 1 LTR 20 PCS SANO,CARTON,PCS,1,BUY,BUY,0.00,4250.0,
PM0000031,LABEL 15 LTR REFINED CANOLA,LABEL,PCS,1,BUY,BUY,0.00,4000.0,
PM0000008,CARTON 15 LTR 1 PCS,CARTON,PCS,1,BUY,BUY,0.00,4000.0,
PM0000349,LABEL 2 LTR POMACE HANDLE BOTTLE FRONT,LABEL,PCS,1,BUY,,,4000.0,
PM0000350,LABEL 2 LTR POMACE HANDLE BOTTLE BACK,LABEL,PCS,1,BUY,,,4000.0,
PM0000331,LABEL 250 GMS EXTRA LIGHT FRONT,LABEL,PCS,1,BUY,,,4000.0,
PM0000332,LABEL 250 GMS EXTRA LIGHT BACK,LABEL,PCS,1,BUY,,,4000.0,
PM0000587,PET BOTTLE 250 ML BOTTLES,PET BOTTLES,PCS,1,BUY,,,4000.0,
PM0000333,CAPS 250 MLS GLASS BOTTLE,CAPS,PCS,1,BUY,BUY,0.00,4000.0,
PM0000155,SHRINKS NECK 500 MLS PRINTED EXTRA VIRGIN OLIVE,SHRINK,PCS,1,BUY,BUY,0.00,4000.0,
PM0000009,CARTON 2 LTR 10 PCS,CARTON,PCS,1,BUY,BUY,0.00,3800.0,
PM0000657,CARTON 1 LTR 16 PCS SANO,CARTON,PCS,1,BUY,BUY,0.00,3750.0,
PM0000722,CARTON 1 LTR 20 PCS PET 75 GM,CARTON,PCS,1,BUY,BUY,0.00,3750.0,
PM0000560,PET BOTTLE 2 LTR 80 GRM (GREEN HANDLE),PET BOTTLES,PCS,1,BUY,,,3500.0,
PM0000260,TIN 5 LTR SO OLIVE PRINTED,TIN,PCS,1,BUY,,,3400.0,
PM0000632,CARTON 5 LTR TIN OLIVE 4 PCS SANO,CARTON,PCS,1,BUY,BUY,0.00,3000.0,
PM0000050,LABEL 5 LTR PAKKI GHANI FRONT,LABEL,PCS,1,BUY,,,3000.0,
PM0000049,LABEL 5 LTR PAKKI GHANI BACK,LABEL,PCS,1,BUY,,,3000.0,
PM0000042,LABEL 2 LTR REFINED FRONT,LABEL,PCS,1,BUY,BUY,0.00,3000.0,
PM0000041,LABEL 2 LTR REFINED BACK,LABEL,PCS,1,BUY,BUY,0.00,3000.0,
PM0000122,TIKKI 100 MLS,TIKKI,PCS,1,BUY,BUY,0.00,3000.0,
PM0000499,LABEL 1 LTR EXTRA VIRGIN FRONT ZANO,LABEL,PCS,1,BUY,BUY,0.00,3000.0,
PM0000500,LABEL 1 LTR EXTRA VIRGIN BACK ZANO,LABEL,PCS,1,BUY,BUY,0.00,3000.0,
PM0000498,PET BOTTLE 500 MLS 34 GMS GREEN,PET BOTTLES,PCS,1,BUY,,,3000.0,
PM0000421,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL FRONT,LABEL,PCS,1,BUY,,,3000.0,
PM0000422,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL BACK,LABEL,PCS,1,BUY,,,3000.0,
PM0000245,CARTON 5 LTR 4 PCS PET,CARTON,PCS,1,BUY,BUY,0.00,2807.14,
PM0000266,LABEL 2 LTR CP CANOLA HANDLE BOTTLE FRONT,LABEL,PCS,1,BUY,BUY,0.00,2500.0,
PM0000265,LABEL 2 LTR CP CANOLA HANDLE BOTTLE BACK,LABEL,PCS,1,BUY,BUY,0.00,2500.0,
PM0000414,LABEL 200 MLS EXTRA VIRGIN COCONUT FRONT,LABEL,PCS,1,BUY,,,2500.0,
PM0000413,LABEL 200 MLS EXTRA VIRGIN COCONUT BACK,LABEL,PCS,1,BUY,,,2500.0,
PM0000593,TIN 15 KGS/LTR MULTI CP KACCHI GHANI MUSTARD OIL  PRINTED,TIN,PCS,1,BUY,BUY,0.00,2123.0,
PM0000270,LABEL 15 LTR COLD PRESS SUNFLOWER OIL,LABEL,PCS,1,BUY,BUY,0.00,2000.0,
PM0000259,TIN 5 LTR EXTRA VIRGIN OLIVE PRINTED IMPORTED,TIN,PCS,1,BUY,BUY,0.00,2000.0,
PM0000830,TIN 3 LTR POMACE OLIVE PRINTED,TIN,PCS,1,BUY,BUY,0.00,2000.0,
PM0000846,LABEL 2 LTR CP MUSTARD OIL HENDLE BOTTLE FRONT LA RASOI,LABEL,PCS,1,BUY,BUY,0.00,2000.0,
PM0000843,LABEL 2 LTR CP MUSTARD OIL HANDLE BOTTLE BACK LA RASOI,LABEL,PCS,1,BUY,BUY,0.00,2000.0,
PM0000150,GLASS BOTTLE 500 MLS,GLASS BOTTLES,PCS,1,BUY,,,2000.0,
PM0000816,LABEL 500 ML PURE TOASTED SESAME OIL FRONT,LABEL,PCS,1,BUY,,,2000.0,
PM0000815,LABEL 500 ML PURE TOASTED SESAME OIL BACK,LABEL,PCS,1,BUY,,,2000.0,
PM0000656,GLASS BOTTLE 250 ML,GLASS BOTTLES,PCS,1,BUY,BUY,0.00,2000.0,
PM0000347,LABEL 250 MLS EXTRA VIRGIN GLASS BOTTLE FRONT,LABEL,PCS,1,BUY,BUY,0.00,2000.0,
PM0000348,LABEL 250 MLS EXTRA VIRGIN GLASS BOTTLE BACK,LABEL,PCS,1,BUY,BUY,0.00,2000.0,
PM0000254,CARTON 2 LTR 10 PCS HANDLE BOTTLE,CARTON,PCS,1,BUY,,,1750.0,
PM0000891,POUCH SOYABEAN MULTI  KGS,POUCH,KGS,1,BUY,BUY,0.00,1665.04,
RM0000013,POMACE OLIVE LOOSE OIL IMPORTED,OLIVE,LTR,2,BUY,BUY,0.00,1616.36,
PM0000838,CARTON 2 LTR 10 PCS HANDLE BOTTLE PLAIN,CARTON,PCS,1,BUY,,,1550.0,
PM0000276,CARTON CHOCO 375 GMS CHOCO 4 PCS,CARTON,PCS,1,BUY,,,1500.0,
PM0000506,CAPS 1 & 2 LTR FULL GREEN PLAIN,CAPS,PCS,1,BUY,BUY,0.00,1500.0,
PM0000590,CARTON PET BOTTLE 250 ML 4 PCS,CARTON,PCS,1,BUY,,,1416.67,
PM0000182,CARTON 3 LTR 6 PCS,CARTON,PCS,1,BUY,,,1277.83,
PM0000083,TIKKI BARCODE CSD 1 LTR CANOLA,TIKKI,PCS,1,BUY,BUY,0.00,1200.0,
PM0000766,TIKKI BARCODE CSD 2 LTR CANOLA,TIKKI,PCS,1,BUY,BUY,0.00,1200.0,
PM0000052,LABEL 5 LTR REFINED FRONT,LABEL,PCS,1,BUY,BUY,0.00,1200.0,
PM0000051,LABEL 5 LTR REFINED BACK,LABEL,PCS,1,BUY,,,1200.0,
PM0000335,TIKKI 250 MLS,TIKKI,PCS,1,BUY,,,1200.0,
PM0000765,TIKKI BARCODE CSD 5 LTR CANOLA,TIKKI,PCS,1,BUY,BUY,0.00,1200.0,
PM0000128,CARTON 500 MLS 24 PCS,CARTON,PCS,1,BUY,BUY,0.00,1041.67,
PM0000831,TIN 3 LTR EXTRA LIGHT OLIVE PRINTED,TIN,PCS,1,BUY,BUY,0.00,1000.0,
PM0000062,CAPS 5 LTR,CAPS,PCS,1,BUY,,,1000.0,
PM0000264,LABEL 3 LTR KACHCHI GHANI FRONT,LABEL,PCS,1,BUY,,,1000.0,
PM0000263,LABEL 3 LTR KACHCHI GHANI BACK,LABEL,PCS,1,BUY,,,1000.0,
PM0000417,LABEL 2 LTR EXTRA VIRGIN OLIVE OIL FRONT,LABEL,PCS,1,BUY,,,1000.0,
PM0000418,LABEL 2 LTR EXTRA VIRGIN OLIVE OIL BACK,LABEL,PCS,1,BUY,,,1000.0,
RM0000053,LOOSE OIL SESAME SEED OIL (TOASTED),SESAME,LTR,1,BUY,,,1000.0,
PM0000415,LABEL 500 MLS EXTRA VIRGIN COCONUT FRONT,LABEL,PCS,1,BUY,,,1000.0,
PM0000416,LABEL 500 MLS EXTRA VIRGIN COCONUT BACK,LABEL,PCS,1,BUY,,,1000.0,
PM0000183,LABEL 500 MLS EXTRA LIGHT FRONT,LABEL,PCS,1,BUY,,,1000.0,
PM0000184,LABEL 500 MLS EXTRA LIGHT BACK,LABEL,PCS,1,BUY,,,1000.0,
PM0000465,LABEL 13 KGS REFINED COTTON SEED OIL,LABEL,PCS,1,BUY,,,700.0,
PM0000409,CARTON 1 LTR POMACE 16 PCS PLAIN,CARTON,PCS,1,BUY,BUY,0.00,687.5,
PM0000430,LABEL 15 LTR REFINED COTTON SEED,LABEL,PCS,1,BUY,BUY,0.00,667.0,
PM0000362,LABEL 15 LTR REFINED RICE BRAN OIL,LABEL,PCS,1,BUY,,,667.0,
PM0000895,LABEL 15 KG REFINED RICE BRAN OIL,LABEL,PCS,1,BUY,BUY,0.00,607.0,
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,LABEL,PCS,1,BUY,BUY,0.00,600.0,
PM0000884,SHRINK POF ROLL KG,SHRINK,KGS,1,BUY,BUY,0.00,535.2,
PM0000871,TIKKI BARCODE CSD 1 LTR COCONUT EV,LABEL,PCS,1,BUY,BUY,0.00,500.0,
PM0000658,CARTON 250 MLS GLASS BOTTLE 4 PCS,CARTON,PCS,1,BUY,,,500.0,
PM0000084,PET BOTTLE 5 LTR,PET BOTTLES,PCS,1,BUY,,,400.0,
PM0000372,LABEL 5 LTR MUSTARD FRONT SANO,LABEL,PCS,1,BUY,,,400.0,
PM0000371,LABEL 5 LTR MUSTARD BACK SANO,LABEL,PCS,1,BUY,,,400.0,
