code,name,role,need,onhand,onorder,short,pct_made,fastest_days,fastest_vendor
RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,BLEND,173914,,,,100,,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BLEND,332933,,,,69,,
RM0000009,REFINED SUNFLOWER OIL,BLEND,321347,,,,100,,
RM0000011,GROUNDNUT LOOSE OIL,BLEND,301477,,,,100,,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,BLEND,32243,,,,87,,
PM0000054,PET BOTTLE 1 LTR 23.8 GMS ROUND,BLEND,57078,,,,100,,
RM0000001,LOOSE REFINED OLIVE OIL,BLEND,0,,,,94,,
RM0000015,LOOSE OIL COLD PRESS/REFINED,BLEND,16809,,,,100,,
RM0000003,MUSTARD LOOSE OIL,BUY,952352,179326,465334,307692,7,12.7,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,BUY,740864,610000,324000,-193136,0,9.8,MAHESHWARI CAPS PVT LTD
PM0000851,PET BOTTLE 1 LTR 26 GM,BUY,562789,147797,1202246,-787254,0,11.1,BR AGROTECH LTD
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,BUY,469494,384169,0,85325,0,6.0,ROYAL PRIME LABELS
PM0000019,LABEL 1 LTR KACHCHI GHANI BACK,BUY,469494,380088,0,89406,0,6.0,ROYAL PRIME LABELS
RM0000025,SOYABEAN REFINED LOOSE OIL,BUY,459386,137939,613362,-291916,2,2.3,VEE KAY TRADERS
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,BUY,423739,114000,559000,-249261,0,2.0,MAHESHWARI CAPS PVT LTD
PM0000594,PREFORM 40 GMS 36 MM,BUY,332933,626127,680600,-973794,0,17.8,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000230,LABEL 1 LTR SUNFLOWER FRONT,BUY,264608,198156,20800,45652,0,9.0,ROYAL PRIME LABELS
PM0000231,LABEL 1 LTR SUNFLOWER BACK,BUY,264608,188865,20800,54943,0,9.0,ROYAL PRIME LABELS
PM0000425,LABEL 1 LTR GROUNDNUT FRONT,BUY,147304,90817,251000,-194513,0,5.8,ROYAL PRIME LABELS
PM0000426,LABEL 1 LTR GROUNDNUT BACK,BUY,147304,90000,251500,-194196,0,5.8,ROYAL PRIME LABELS
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,BUY,144651,184840,675017,-715206,0,18.3,BABAJI UDYOG PVT. LTD.
RM0000066,PEANUT OIL,BUY,138581,234875,113593,-209887,0,7.0,M/S ARORA AGRI BUSINESS VENTURES
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,BUY,125970,198172,344000,-416202,0,6.6,ROYAL PRIME LABELS
PM0000058,PET BOTTLE 200 MLS OLIVE OIL,BUY,117982,50460,38376,29146,0,9.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000015,LABEL 1 LTR COLD PRESS FRONT,BUY,103779,200549,226000,-322770,0,8.0,ROYAL PRIME LABELS
PM0000866,LABEL 200 ML CP GROUNDNUT OIL FRONT,BUY,102152,25930,1,76221,0,6.0,ROYAL PRIME LABELS
PM0000865,LABEL 200 ML CP GROUNDNUT OIL BACK,BUY,102152,25930,1,76221,0,6.0,ROYAL PRIME LABELS
PM0000075,TAPE LOGO PRINTED,BUY,88620,556958,183970,-652308,0,3.7,BAKSHI PLASTIC BHANDAR
PM0000053,HDPE BOTTLE 5 LTR,BUY,69669,36944,264545,-231820,0,12.7,BAL KRISHNA INDUSTRIES
PM0000824,LABEL 1 LTR KACHI GHANI FULL,BUY,58016,547743,149500,-639228,0,4.9,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000817,PREFORM 21/23 GMS,BUY,57078,223488,200000,-366410,0,2.3,FRYSTAL PET PRIVATE LIMITED
PM0000469,CAPS 5 LTR BROWN,BUY,55718,7677,188138,-140097,0,21.7,ECHO PLAST INDIA
PM0000370,LABEL 1 LTR MUSTARD FRONT SANO,BUY,55602,113233,0,-57631,0,10.5,ROYAL PRIME LABELS
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,BUY,55602,135353,0,-79751,0,10.5,ROYAL PRIME LABELS
PM0000885,LABEL 869 GM CP MUSTARD OIL FRONT,BUY,37694,21560,0,16134,0,4.7,ROYAL PRIME LABELS
PM0000886,LABEL 869 GM CP MUSTARD OIL BACK,BUY,37694,22050,0,15644,0,4.7,ROYAL PRIME LABELS
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,BUY,33834,55497,5000,-26663,0,12.3,ROYAL PRIME LABELS
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,BUY,33834,55910,5000,-27076,0,12.3,ROYAL PRIME LABELS
PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,BUY,33834,45169,24480,-35816,0,9.1,MULTILAYER INDUSTRIES
PM0000517,PET BOTTLE 1 LTR 75 GMS,BUY,33064,1553,37013,-5502,0,41.2,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000852,PREFORM 49.5 GMS 36 MM,BUY,32243,239583,361189,-568529,0,15.0,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000411,CARTON 1 LTR 20 PCS PET 26GM,BUY,25359,16402,29516,-20559,0,11.0,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
RM0000007,RICE BRAN REFINED OIL,BUY,23629,67310,29769,-73450,0,0.0,MODI OIL TRADERS
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),BUY,22191,37340,100000,-115149,0,4.3,ROYAL PRIME LABELS
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,BUY,21884,1441,36100,-15657,0,6.5,ROYAL PRIME LABELS
PM0000428,LABEL 5 LTR GROUNDNUT BACK,BUY,21884,1926,36100,-16142,0,6.5,ROYAL PRIME LABELS
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,BUY,21269,1505,3000,16764,0,22.4,MAHESHWARI CAPS PVT LTD
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,BUY,21269,9004,0,12265,0,13.8,ROYAL PRIME LABELS
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,BUY,21269,8904,0,12365,0,13.8,ROYAL PRIME LABELS
PM0000006,CARTON 1 LTR 20 PCS PET 40 GM,BUY,19683,12517,20590,-13424,0,21.5,SSY CONTAINERS PVT LTD
PM0000125,PET BOTTLE 500 MLS 34 GMS,BUY,18152,69211,125560,-176619,0,9.0,TPAC PACKAGING INDIA PVT LTD II
PM0000013,CARTON 5 LTR 4 PCS,BUY,17215,7966,48867,-39619,0,11.2,SHIVALIK CONTAINERS PVT.LTD (AAECS1496B)
PM0000900,LABEL 200 ML CP KACHI GHANI FRONT,BUY,15830,2360,0,13470,0,6.0,ROYAL PRIME LABELS
PM0000901,LABEL 200 ML CP KACHI GHANI BACK,BUY,15830,2380,0,13450,0,6.0,ROYAL PRIME LABELS
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,BUY,13260,7543,32612,-26895,0,36.0,TPAC PACKAGING INDIA PVT LTD II
PM0000126,LABEL 500 MLS COLD PRESS FRONT,BUY,13216,8142,0,5074,0,9.0,ROYAL PRIME LABELS
PM0000127,LABEL 500 MLS COLD PRESS BACK,BUY,13216,0,0,13216,0,9.0,ROYAL PRIME LABELS
PM0000470,CAPS 5 LTR ORANGE,BUY,11400,4323,57260,-50183,0,11.5,A A ENTERPRISES
PM0000233,LABEL 5 LTR SUNFLOWER FRONT,BUY,11400,20645,8534,-17779,0,10.0,ROYAL PRIME LABELS
PM0000232,LABEL 5 LTR SUNFLOWER BACK,BUY,11400,22201,8074,-18875,0,10.0,ROYAL PRIME LABELS
PM0000881,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE FRONT,BUY,11029,32670,0,-21641,0,4.0,PACKGEN INTERNATIONAL PVT LTD
PM0000880,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE BACK,BUY,11029,32670,0,-21641,0,4.0,PACKGEN INTERNATIONAL PVT LTD
PM0000003,CARTON 1 LTR POMACE 16 PCS,BUY,9207,7623,40586,-39003,0,17.3,KUBER PAPER & PACK PRIVATE LIMITED AAJCK3867H0
RM0000035,COLD PRESS RAPESSED OIL CANOLA OIL,BUY,7657,0,0,7657,0,7.4,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED
PM0000892,LABEL 1 LTR PRESSED SUNFLOWER OIL FRONT,BUY,6890,5236,504,1150,0,5.5,ROYAL PRIME LABELS
PM0000893,LABEL 1 LTR PRESSED SUNFLOWER OIL BACK,BUY,6890,5179,504,1207,0,5.5,ROYAL PRIME LABELS
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,BUY,6553,74458,24000,-91905,0,11.0,MAHESHWARI CAPS PVT LTD
PM0000027,LABEL 1 LTR REFINED TOP,BUY,6299,8244,4000,-5945,0,0.0,GRAPHICS ELITE
PM0000057,PET BOTTLE 2 LTR 66 GMS,BUY,6240,8691,8400,-10851,0,63.1,TPAC PACKAGING INDIA PVT LTD II
PM0000071,SHRINKS 1 LTR 235X310,BUY,5605,66295,22000,-82690,0,12.1,MULTILAYER INDUSTRIES
PM0000078,CAPS 5 LTR/15 LTR,BUY,5146,68353,160800,-224007,0,1.0,NATIONAL TIN INDUSTRIES
PM0000908,LABEL 500 ML CP GROUNDNUT FRONT,BUY,4936,1808,0,3128,0,9.0,ROYAL PRIME LABELS
PM0000909,LABEL 500 ML CP GROUNDNUT BACK,BUY,4936,1808,0,3128,0,9.0,ROYAL PRIME LABELS
PM0000718,LABEL 1 LTR PRESSED MUSTARD OIL FRONT,BUY,4905,91,5000,-186,0,,
PM0000719,LABEL 1 LTR PRESSED MUSTARD OIL BACK,BUY,4905,86,5000,-181,0,,
PM0000074,TAPE CELLO,BUY,3993,305859,23275,-325141,0,3.4,BAKSHI PLASTIC BHANDAR
PM0000468,CAPS 5 LTR GREEN,BUY,3853,22008,253272,-271427,0,17.9,RAJ TECHNOPACK PVT LTD
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,BUY,3391,4168,10010,-10787,0,20.7,NATIONAL TIN INDUSTRIES
PM0000042,LABEL 2 LTR REFINED FRONT,BUY,3210,0,30,3180,0,11.5,ROYAL PRIME LABELS
PM0000041,LABEL 2 LTR REFINED BACK,BUY,3210,127,30,3053,0,11.5,ROYAL PRIME LABELS
PM0000122,TIKKI 100 MLS,BUY,3210,2983,2816,-2589,0,14.4,MEDIA GRAPHIC PRINTS VEND
PM0000026,LABEL 1 LTR REFINED FRONT,BUY,3089,10513,4000,-11424,0,11.0,ROYAL PRIME LABELS
PM0000025,LABEL 1 LTR REFINED BACK,BUY,3089,9442,4000,-10353,0,11.0,ROYAL PRIME LABELS
PM0000403,TIKKI 100 MLS MUSTARD FREE,BUY,3089,31000,4000,-31911,0,5.7,MEDIA GRAPHIC PRINTS VEND
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,BUY,3028,38178,0,-35150,0,,
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,BUY,3028,1530,0,1498,0,21.0,ROYAL PRIME LABELS
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,BUY,3028,3725,0,-698,0,21.0,ROYAL PRIME LABELS
PM0000056,PET BOTTLE 100 MLS BOTTLES,BUY,2932,2282,7583,-6933,0,41.1,ECHO PLAST INDIA
PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,BUY,2932,31,5000,-2099,0,7.5,AMD INDUSTRIES LTD
PM0000393,LABEL 100 MLS MUSTARD FRONT,BUY,2932,5540,0,-2608,0,17.0,SAI DIGISTIK PRIVATE LIMITED
PM0000392,LABEL 100 MLS MUSTARD BACK,BUY,2932,6860,0,-3928,0,17.0,SAI DIGISTIK PRIVATE LIMITED
PM0000729,CAPS INNER PET BOTTLE 250 MLS,BUY,2932,13961,2600,-13629,0,1.8,PYARA LAL KAPUR AND SONS
PM0000825,CARTON 1 LTR 20 PCS NEW,BUY,2901,4214,16314,-17627,0,11.1,SSY CONTAINERS PVT LTD
PM0000634,CARTON 1 LTR 20 PCS SANO,BUY,2884,1645,2418,-1179,0,12.3,SSY CONTAINERS PVT LTD
